Bookmark
Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Query%20Builder%20for%20Traffic%20Counts%20(1985%20-%20Last%20Calendar%20Year)

ParkName,UnitCode,ParkType,Region,TrafficCounter,Year,Month,TrafficCount,ParkNameTotal,UnitCodeTotal,ParkTypeTotal,RegionType,TrafficCountTotal,YearTotal,TrafficCountTotal
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.5 (U.S. 220 RIGHT),1989,10,"36,180",Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.5 (U.S. 220 RIGHT),1989,"192,695"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.5 (U.S. 220 RIGHT),1989,11,"9,400",Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.5 (U.S. 220 RIGHT),1989,"192,695"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.5 (U.S. 220 RIGHT),1989,12,"13,100",Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.5 (U.S. 220 RIGHT),1989,"192,695"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 199.4 (U.S. 52 LEFT),1988,1,"6,874",Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 199.4 (U.S. 52 LEFT),1988,"177,871"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 199.4 (U.S. 52 LEFT),1988,2,"8,596",Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 199.4 (U.S. 52 LEFT),1988,"177,871"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 199.4 (U.S. 52 LEFT),1988,3,"8,828",Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 199.4 (U.S. 52 LEFT),1988,"177,871"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 199.4 (U.S. 52 LEFT),1988,4,"12,139",Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 199.4 (U.S. 52 LEFT),1988,"177,871"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 199.4 (U.S. 52 LEFT),1988,5,"15,395",Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 199.4 (U.S. 52 LEFT),1988,"177,871"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 199.4 (U.S. 52 LEFT),1988,6,"16,538",Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 199.4 (U.S. 52 LEFT),1988,"177,871"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 199.4 (U.S. 52 LEFT),1988,7,"23,967",Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 199.4 (U.S. 52 LEFT),1988,"177,871"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 199.4 (U.S. 52 LEFT),1988,8,"24,732",Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 199.4 (U.S. 52 LEFT),1988,"177,871"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 199.4 (U.S. 52 LEFT),1988,9,"14,388",Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 199.4 (U.S. 52 LEFT),1988,"177,871"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 199.4 (U.S. 52 LEFT),1988,10,"22,294",Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 199.4 (U.S. 52 LEFT),1988,"177,871"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 199.4 (U.S. 52 LEFT),1988,11,"16,124",Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 199.4 (U.S. 52 LEFT),1988,"177,871"
